ticker,name,Sector,SubIndustry,Address,tech
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",0
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",0
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",0
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",0
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",0
MDT,Medtronic Inc.,Health Care,Health Care Equipment & Services,"Fridley, Minnesota",0
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",0
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",0
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",0
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",0
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",0
MMM,3M Company,Industrials,Industrial Conglomerates,"St Paul, Minnesota",0
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",0
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",0
MOLX,Molex Inc.,Information Technology,Electronic Equipment & Instruments,"Lisle, Illinois",0
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",0
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",0
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",0
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",0
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
MS,Morgan Stanley,Financials,Diversified Financial Services,"New York, New York",0
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",1
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",0
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",0
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",0
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia",0
MYL,Mylan Inc.,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",0
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,"Hamilton, Bermuda",0
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",0
NE,Noble Corp,Energy,Oil & Gas Drilling,"Geneva, Switzerland",0
NEE,NextEra Energy Resources,Utilities,Multi-Utilities & Unregulated Power,"Juno Beach, Florida",0
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",0
NFLX,NetFlix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",1
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
